,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
43,EPIC 201299088.01,EPIC 201299088,2457600.34291,,21.204739,,9.11013939,5154.0,3.91,1.761722,182.2046312,-2.4646145,-17.2604,-21.0775,0.008145,-0.007958,0.005348,-0.005523,1.16378405,-0.95135653,50.0,-50.0,0.1,-0.1,0.212777,-0.1708,0.0968947,-0.0968947,0.0712345,-0.0712345
44,EPIC 201324549.01,EPIC 201324549,2456809.99353,1.54512,2.519334,,3.91,6283.0,4.17,1.45,171.2359519,-2.0851597,7.0,3.0,0.00069,-0.00069,3.5e-05,-3.5e-05,0.85,-0.85,113.0,-113.0,0.12,-0.12,0.25,-0.25,1.8,-1.8,1.5,-1.5
45,EPIC 201324549.01,EPIC 201324549,2460284.25085,1.113,2.5194039,193.5,7.65729,6380.0,,1.76,171.2359519,-2.0851597,7.0,3.0,0.0274946,-0.0274946,2.02e-05,-2.02e-05,,,,,,,,,1.8,-1.8,1.5,-1.5
46,EPIC 201324549.01,EPIC 201324549,2456812.51211,1.584,2.519386,203.6,19.6,,,2.03,171.2359519,-2.0851597,7.0,3.0,0.00025,-0.00025,1.4e-05,-1.4e-05,5.1,-8.7,,,,,0.178,-0.068,1.8,-1.8,1.5,-1.5
47,EPIC 201324549.01,EPIC 201324549,2456820.075966,1.58,2.51881781,215.0,,6380.0,,1.76277,171.2359519,-2.0851597,7.0,3.0,,,,,,,,,,,,,1.8,-1.8,1.5,-1.5
48,EPIC 201324549.01,EPIC 201324549,2456812.512,1.24,2.5194078,181.0,7.99,7119.0,,1.72,171.2359519,-2.0851597,7.0,3.0,,,,,,,,,,,,,1.8,-1.8,1.5,-1.5
49,EPIC 201352100.01,EPIC 201352100,2457594.79204,,13.383629,,2.87289326,5216.0,4.7,0.815235,184.0351247,-1.6737612,-36.3597,-18.3732,0.001985,-0.002149,0.00076,-0.000727,0.19065085,-0.14348337,50.0,-50.0,0.1,-0.1,0.026738,-0.017747,0.188525,-0.188525,0.135449,-0.135449
50,EPIC 201352100.01,EPIC 201352100,2457594.7895,2.2008,13.38382,120.0,2.7,5113.71,4.73383,0.65973,184.0351247,-1.6737612,-36.3597,-18.3732,0.0032,-0.0033,0.00116,-0.00114,0.17,-0.1,102.61,-100.12,0.070764,-0.081435,0.034864,-0.034925,0.188525,-0.188525,0.135449,-0.135449
51,EPIC 201357835.01,EPIC 201357835,2457611.3371,,11.8951,,,5040.0,,0.68,185.1812113,-1.5883337,-25.4865,-3.32868,0.002,-0.0021,0.0014,-0.0017,,,,,,,0.07,-0.06,0.0909908,-0.0909908,0.0528331,-0.0528331
52,EPIC 201359834.01,EPIC 201359834,2456838.65281,3.024,40.1401,1896.0,20.8,,,0.716,173.1750869,-1.5587834,-48.1369,-16.7046,0.00082,-0.00082,0.0012,-0.0012,7.4,-10.0,,,,,0.131,-0.025,0.105602,-0.105602,0.056068,-0.056068
53,EPIC 201366540.01,EPIC 201366540,2456810.6468,1.632,7.4433,116.0,2.73,,,0.724,168.7367646,-1.4622181,-20.6579,-0.350883,0.0057,-0.0056,0.0011,-0.0012,0.47,-2.33,,,,,0.053,-0.041,0.0727654,-0.0727654,0.0484838,-0.0484838
54,EPIC 201390927.01,EPIC 201390927,2457583.3409,1.6992,2.638,110.0,2.91,4264.47,,,184.5853275,-1.0989451,-61.31,-32.99,0.0042,-0.0046,0.0003,-0.00029,0.4,-0.33,90.05,-90.05,,,,,2.0,-2.0,2.0,-2.0
55,EPIC 201392505.01,EPIC 201392505,2457592.0795,5.5008,27.47083,150.0,3.36,4947.03,4.59659,0.749863,183.188479,-1.0748315,-15.588,-4.95251,0.0186,-0.0163,0.01089,-0.01286,0.26,-0.18,127.92,-127.97,0.090565,-0.096421,0.038988,-0.0685,0.134144,-0.134144,0.0939,-0.0939
56,EPIC 201407812.01,EPIC 201407812,2456812.488,6.8,2.8268121,14100.0,40.1,5736.0,,0.98,174.0440867,-0.8407078,-10.9682,-3.03761,,,,,,,,,,,,,0.0861705,-0.0861705,0.052229,-0.052229
57,EPIC 201427007 b,EPIC 201427007,2457625.7943,,0.72091,,1.5,5633.0,4.4,0.94,184.6021322,-0.5512886,-17.3534,3.88685,0.0027,-0.0023,0.00014,-0.00014,0.2,-0.2,111.0,-111.0,0.07,-0.07,0.09,-0.09,0.0707847,-0.0707847,0.038156,-0.038156
58,EPIC 201441872.01,EPIC 201441872,2456812.8841,2.712,4.44044,14.14,1.32,,,1.053,173.6002346,-0.3345702,-39.409,2.31611,0.0032,-0.0031,0.00037,-0.00038,0.15,-0.33,,,,,0.081,-0.088,0.0827012,-0.0827012,0.0556739,-0.0556739
59,EPIC 201441872.01,EPIC 201441872,2456812.872,2.74,4.4416421,14.3,1.17,5547.0,,0.9,173.6002346,-0.3345702,-39.409,2.31611,,,,,,,,,,,,,0.0827012,-0.0827012,0.0556739,-0.0556739
60,EPIC 201441872.01,EPIC 201441872,2456812.87129,,4.441258,,1.12422498,5450.0,4.54,0.833852,173.6002346,-0.3345702,-39.409,2.31611,0.00673,-0.007226,0.000878,-0.000942,0.84568044,-0.12860819,50.0,-50.0,0.1,-0.1,0.050419,-0.030962,0.0827012,-0.0827012,0.0556739,-0.0556739
61,EPIC 201445732.01,EPIC 201445732,2456817.4926,1.1328,11.20381,35.4,2.18,,,1.1,170.6512345,-0.2798534,2.85301,-20.8911,0.0021,-0.0023,0.00055,-0.00055,0.33,-0.6,,,,,0.14,-0.25,0.069722,-0.069722,0.0588084,-0.0588084
