pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec
28.271761,2.7100633,2456833.2014,,5548.0,0.933556,4.42,174.1067018,7.7529977
28.2717,,2456833.2058,,5564.0,1.02594,4.40705,174.1067018,7.7529977
4.73172,1.7,2456811.3374,0.0245,,1.028,,174.1067018,7.7529977
0.782022,1.58,2456810.3858,0.0267,,0.94,,174.9206066,7.8258194
0.78214992,1.29,2456810.377,0.0226,5144.0,0.79,,174.9206066,7.8258194
15.4769,2.89,2456819.2588,0.173,,0.66,,171.3995685,7.8719192
6.4498648,2.63,2456811.942,0.0814,5395.0,0.85,,170.9338271,7.9170687
6.45027,2.29,2456811.9392,0.0606,,0.894,,170.9338271,7.9170687
1.19478,1.65,2456808.97,,3671.0,0.235,5.053,170.8931433,7.9346019
,,,,4786.0,0.7,,174.6569397,7.9595633
1.5771832,33.4,2456772.583,2.49,8210.0,1.94,,99.184275,21.651567
1.57753,26.0,2456767.8457,,7747.0,1.93,4.08,99.184275,21.651567
3.262038,,2456773.67873,2.4289,10318.0,5.27397,,92.5910909,23.7941563
4.4654,45.0,2456775.982,1.59,,2.3,,95.8635012,14.5471107
21.140574,31.5,2456777.994,5.01,6205.0,1.29,,91.5042033,22.891765
5.74372,,2456776.25053,0.7985,,,,94.535356,24.8339752
3.2923818,19.6,2456774.826,0.924,7824.0,1.87,,95.2474442,26.1253891
6.90487,53.0,2456768.1919,,6599.0,1.45,4.241,104.266253,18.62682
6.905053,,2456775.09723,2.5067,,,,104.266253,18.62682
6.9055211,33.6,2456775.097,2.65,6722.0,1.89,,104.266253,18.62682
1.696374,35.3,2456773.58891,3.779,,1.793,,103.3613273,16.8331077
3.046136,76.0,2456774.35565,3.778,,1.698,,95.1830838,24.9042603
3.0459383,19.0,2456774.358,3.82,5529.0,0.89,,95.1830838,24.9042603
3.04622,29.0,2456768.2628,,5529.0,0.89,4.5,95.1830838,24.9042603
3.23792,,2456772.2298,0.0431,4500.0,0.639668,4.67558,100.3787709,20.9218836
3.238542,1.67,2456772.226,0.0499,4446.0,0.69,,100.3787709,20.9218836
3.2367,1.58,2456769.0019,,4863.0,0.74,4.597,100.3787709,20.9218836
6.2719092,60.0,2456775.43,9.29,7254.0,1.81,,93.5717918,18.6270161
23.7782,98.0,2456802.7462,,7498.0,2.09,4.03,97.7746683,17.7011893
1.42636,6.66,2456773.3448,0.03016,,4.28,,96.352041,24.6658505
3.979287,37.5,2456772.894,3.5,7430.0,1.84,,99.5107441,20.9392785
2.1417519,86.2,2456772.766,24.8,6492.0,1.59,,96.5994993,27.9455981
2.86136,,2456774.8909,0.1169,3697.0,0.50129,4.73628,104.3493021,19.5069285
3.10622,,2456772.4445,0.195,3636.0,0.501135,4.73641,100.404621,24.20664
