,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandep,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
5954,5.599869,24.866985,-1.958,0.123,-0.123,-29.502,0.072,-0.072,2459855.605714,0.003193,-0.003193,25.1745344,0.0041613,-0.0041613,4.865,2786.0,6.78671,0.443967,-0.443967,5776.9,138.2,-138.2,4.16,0.08,-0.08,1.41,0.08,-0.08
5955,330.888658,50.567867,8.799,0.031,-0.031,3.81,0.027,-0.027,2459881.637411,0.001056,-0.001056,4.0673088,1.01e-05,-1.01e-05,2.623,10855.0,13.1156,0.660684,-0.660684,6333.0,130.6,-130.6,4.35,0.09,-0.09,1.24,0.06,-0.06
5956,342.532851,45.253782,5.159,0.032,-0.032,-2.085,0.032,-0.032,2459874.30158,0.001899,-0.001899,3.9089363,1.63e-05,-1.63e-05,4.636,7390.0,15.0353,,,5800.0,122.0,-122.0,3.91,,,1.87,,
5957,343.516055,44.912913,14.289,0.024,-0.024,-11.2,0.025,-0.025,2459856.664269,0.003184,-0.003184,13.1471808,9.5e-05,-9.5e-05,4.471,7691.0,9.63171,0.611298,-0.611298,5670.0,127.8,-127.8,4.3,0.07,-0.07,1.18,0.06,-0.06
5958,355.540075,31.793315,49.441,0.048,-0.048,-1.619,0.032,-0.032,2459881.332399,0.000681,-0.000681,9.7712443,0.0004497,-0.0004497,3.956,34227.0,15.2558,0.916465,-0.916465,5294.0,121.5,-121.5,4.61,0.08,-0.08,0.79,0.04,-0.04
5959,331.838189,53.519585,17.173,0.053,-0.053,4.53,0.049,-0.049,2459872.105147,0.001498,-0.001498,5.2266285,1.4e-05,-1.4e-05,5.412,6662.0,15.6275,0.8214,-0.8214,6205.0,173.2,-173.2,3.91,0.09,-0.09,2.0,0.1,-0.1
5960,339.463592,45.159958,-32.053,0.087,-0.087,-17.992,0.085,-0.085,2459881.944818,0.001262,-0.001262,0.747693,2e-06,-2e-06,0.684,3434.0,6.17927,0.975121,-0.975121,4825.0,140.2,-140.2,4.47,0.09,-0.09,0.86,0.06,-0.06
5961,134.718341,-43.452796,-29.488,0.058,-0.058,20.116,0.06,-0.06,2459304.418696,0.000215,-0.000215,3.1123343,1e-06,-1e-06,2.388,6080.0,22.1621,4.44325,-4.44325,7850.0,217.0,-217.0,4.08695,0.341185,-0.341185,1.92,0.06,-0.06
5962,331.562453,52.26862,-6.631,0.049,-0.049,-8.574,0.044,-0.044,2459876.706893,0.002579,-0.002579,7.8580085,2.81e-05,-2.81e-05,6.999,4378.0,21.4783,1.29399,-1.29399,6406.0,127.3,-127.3,3.46,0.09,-0.09,3.5,0.19,-0.19
5963,10.011395,24.379676,14.82,0.044,-0.044,3.008,0.03,-0.03,2459881.500754,0.002982,-0.002982,10.3473602,5.63e-05,-5.63e-05,2.365,7695.0,10.117,0.706022,-0.706022,5672.0,124.0,-124.0,4.33,0.07,-0.07,1.14,0.06,-0.06
5964,349.05622,45.012568,-0.871,0.028,-0.028,3.66,0.025,-0.025,2459879.477717,0.004245,-0.004245,3.6444426,2.07e-05,-2.07e-05,3.296,6276.0,19.0899,,,5407.0,122.0,-122.0,3.86,,,1.88,,
5965,333.73428,48.876577,1.377,0.046,-0.046,2.83,0.044,-0.044,2459878.065088,0.002312,-0.002312,2.3921761,1.57e-05,-1.57e-05,2.792,8040.0,12.2947,0.795747,-0.795747,5817.0,128.6,-128.6,4.04,0.08,-0.08,1.63,0.08,-0.08
5966,318.857399,56.119827,-3.326,0.054,-0.054,-4.272,0.052,-0.052,2459868.609542,0.002253,-0.002253,7.0346299,2.84e-05,-2.84e-05,2.565,3746.0,17.638,1.08551,-1.08551,8294.0,165.7,-165.7,3.97,0.08,-0.08,2.44,0.11,-0.11
5967,335.039505,51.55615,-0.698,0.03,-0.03,-1.455,0.031,-0.031,2459879.050673,0.001288,-0.001288,2.0323202,4e-06,-4e-06,2.786,8896.0,15.3325,,,8011.0,122.0,-122.0,4.27,,,1.68,,
5968,344.620982,57.4528,81.917,0.047,-0.047,41.298,0.04,-0.04,2459831.799479,0.001402,-0.001402,29.5406035,5.29e-05,-5.29e-05,3.382,13065.0,10.9471,0.556929,-0.556929,6315.0,240.6,-240.6,4.58,0.1,-0.1,0.94,0.04,-0.04
5969,315.223413,54.962464,4.407,0.034,-0.034,-1.833,0.033,-0.033,2459881.159824,0.001867,-0.001867,3.0365848,1.54e-05,-1.54e-05,3.089,8184.0,17.0668,,,5928.0,122.0,-122.0,3.84,,,2.06,,
